Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling
Muscisaxicola_maclovianus	hypo_br	0.705284316643346	0.5	0.66689814363251	NA	0.5	0.0698801366748935	NA	0.5	0.244716881311076	NA	NA	NA	NA	0.052254047266002	0.947745952733998	0.0258079912659018
Muscisaxicola_maclovianus	hypo_wi	0.592328028205681	0.5	0.565721340947502	NA	0.5	0	NA	0.5	0.000495257650652281	NA	NA	NA	NA	0.143743929392036	0.856256070607964	0.103915607791008
Muscisaxicola_maculirostris	real	0.466698578341232	1	0.513948383587099	NA	0.5	0.22349332536142	NA	0.5	0.0346461403214875	NA	16.2544517951502	7.93818695070497	8.31626484444526	0.239518818971494	0.760481181028506	0.0499983025071304
Muscisaxicola_maculirostris	hypo_br	0.439993637700446	1	0.522097509430966	NA	0.5	0.301558601859902	NA	0.5	0.150782807000901	NA	NA	NA	NA	0.216937178783766	0.783062821216234	0.055979738756146
Muscisaxicola_maculirostris	hypo_wi	0.357288909171413	1	0.428983357618786	NA	0.5	0.296347466353157	NA	0.5	0.257023470633808	NA	NA	NA	NA	0.443143808232941	0.556856191767059	0.0899906591101911
Muscisaxicola_rufivertex	real	0.56806245495628	0.5	0.515579396339238	NA	0.5	0.13445288670164	NA	0.5	0.223898495275531	NA	15.5473208156121	7.68569204786808	7.86162876774407	0.151088628217514	0.848911371782487	0.053328384409028
Myiotheretes_fumigatus	real	0.426152922743241	1	0.627495604190813	NA	0.5	0.210477877024648	NA	0.5	0.123610300669132	NA	14.5643921051332	7.64131746803236	6.92307463710082	0.0135602687241439	0.986439731275856	0.318006138913394
Myiotheretes_fuscorufus	real	0.593441910256718	0.5	0.587093457713809	NA	0.5	0.168594999022836	NA	0.5	0	NA	14.9290391481291	7.21117542236029	7.71786372576879	0.395064353414392	0.604935646585608	0.043452444503698
Myiotheretes_striaticollis	real	0.64529231868732	1	0.686726056422528	NA	0.5	0.534150181232759	NA	0.5	0.494309878096794	NA	16.2603804119166	8.04017875256617	8.2202016593504	0.0881702200452616	0.911829779954738	0.0332071033628978
Neoxolmis_rufiventris	real	0.488333611898394	1	0.583056791895836	NA	0.5	0.16681312685263	NA	0.5	0.103108730387452	NA	14.0375772599373	6.93942250625714	7.09815475368015	0.259305563650293	0.740694436349707	0.277495820974665
Neoxolmis_rufiventris	hypo_br	0.0311699266039521	1	0.528952708504107	NA	0.5	0.00539602495112945	NA	0.5	0.00648789950479711	NA	NA	NA	NA	0.908189379094733	0.0918106209052672	0.959193084744508
Neoxolmis_rufiventris	hypo_wi	0.0429611478229218	1	0.367421927224725	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.91819731679291	0.0818026832070901	0.955281804315065
Polioxolmis_rufipennis	real	0.175900625766688	1	0.355436707753137	NA	0.5	0.0108205709397693	NA	0.5	0	NA	15.007647554176	7.44337797652603	7.56426957764993	0.550326060568043	0.449673939431957	0.455714023363869
Satrapa_icterophrys	real	0.572301195023927	1	0.63288040392594	NA	0.5	0.105044920556626	NA	0.5	0.507023379282379	NA	14.5982898681738	6.99873938545849	7.59955048271533	0.0929150919936926	0.907084908006307	0.000779596344153738
Satrapa_icterophrys	hypo_br	0.594903757602967	1	0.656953689910387	NA	0.5	0.123312092374363	NA	0.5	0.333723510765677	NA	NA	NA	NA	0.0892479016394635	0.910752098360536	0.0010555243282622
Satrapa_icterophrys	hypo_wi	0.580126966215933	1	0.647951473285551	NA	0.5	1.88234652163111e-05	NA	1	0.607837886132896	NA	NA	NA	NA	0.0899489506678887	0.910051049332111	0.000965692857762418
Xolmis_cinereus	real	0.363861969487574	1	0.612124225664931	NA	0.5	0.25132353429362	NA	0.5	0.279032651902515	NA	14.3610439479739	6.67668865086634	7.68435529710759	0.33334222150203	0.66665777849797	0.000167378750786237
Xolmis_coronatus	real	0.15715015364014	1	0.675796125463532	NA	0.5	0.0464556949232311	NA	0.5	0.0446555747711004	NA	14.6501919084159	7.27689357051381	7.37329833790209	0.798537673219359	0.201462326780641	0.362278300673569
Xolmis_coronatus	hypo_br	0.603081311454578	1	0.688041936078278	NA	0.5	0.103337916022921	NA	0.5	0.0454874029509232	NA	NA	NA	NA	0.0166071820843594	0.983392817915641	0.123718027687524
Xolmis_coronatus	hypo_wi	0.80502522900351	1	0.837638375360448	NA	0.5	0.316961662938398	NA	0.5	0.124573824609937	NA	NA	NA	NA	0.120681317265974	0.879318682734026	0.0354574373006468
Xolmis_irupero	real	0.791046076121686	0.5	0.667831977796677	NA	0.5	0.62007304423322	NA	0.5	0.341016220507315	NA	15.7212513497188	7.89075051541019	7.83050083430858	0.0175888090571893	0.982411190942811	0.0276655229678014
Xolmis_pyrope	real	0.540254739522803	0.5	0.514866193634773	NA	0.5	0	NA	0.5	0	NA	15.4268913145602	7.68344202835094	7.74344928620925	0.271891433797331	0.728108566202669	0.0986148472402879
Xolmis_pyrope	hypo_br	0.535646267385341	0.5	0.468772485609487	NA	0.5	8.43914676029733e-06	NA	0.5	0	NA	NA	NA	NA	0.272376532983115	0.727623467016885	0.136561110704658
Xolmis_pyrope	hypo_wi	0.515059103676342	0.5	0.477341068414547	NA	0.5	0.0319850003293491	NA	0.5	0	NA	NA	NA	NA	0.312017812790229	0.687982187209771	0.134820531419316
Xolmis_rubetra	real	0.371226941710727	1	0.603275068697153	NA	0.5	0.132374560084624	NA	0.5	0.109286845266079	NA	15.447136247728	7.60143722536009	7.84569902236789	0.270929088076838	0.729070911923162	0.269673256109708
Xolmis_rubetra	hypo_br	0.331293291578858	1	0.61112104198591	NA	1	0.356717970667208	NA	0.5	0.240827949654979	NA	NA	NA	NA	0.272621802893212	0.727378197106788	0.410111287087743
Xolmis_rubetra	hypo_wi	0.268484779277652	1	0.592317377266102	NA	1	0.447391204533616	NA	0.5	0	NA	NA	NA	NA	0.416204355293184	0.583795644706816	0.406816219833427
