Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Muscisaxicola_frontalis	hypo_br	0.330461453	0.91089	0.264620726	NA	0.5	0.008664795	NA	0.5	0	NA	NA	NA	NA	0.563275157	0.436724843	0.491144811	mig	Xolmiini
Muscisaxicola_frontalis	hypo_wi	0.000758454	1	0.186523884	NA	0.5	1.11E-16	NA	0.5	0	NA	NA	NA	NA	0.998874443	0.001125557	0.998774536	mig	Xolmiini
Muscisaxicola_griseus	real	0.361011118	1	0.483483763	NA	0.5	0.038159707	NA	0.5	0.032798343	NA	14.39747418	7.350544773	7.046929409	0.168830926	0.831169074	0.289249651	res	Xolmiini
Muscisaxicola_juninensis	real	0.474399591	0.39604	0.356811705	NA	0.5	0.011765935	NA	0.5	0	NA	14.42546469	7.246413475	7.179051214	0.21282373	0.78717627	0.193839451	res	Xolmiini
Muscisaxicola_maclovianus	real	0.51153956	1	0.450623429	NA	0.5	0.061256212	NA	0.5	0.04106686	NA	15.61706499	7.570744918	8.046320068	0.296890205	0.703109795	0.068567392	mig	Xolmiini
Muscisaxicola_maclovianus	hypo_br	0.527120336	0.0198	0.430271827	NA	0.5	0.027991332	NA	0.5	0.358836415	NA	NA	NA	NA	0.211616563	0.788383437	0.243959054	mig	Xolmiini
Muscisaxicola_maclovianus	hypo_wi	0.31659312	1	0.365204305	NA	0.5	0	NA	0.5	0	NA	NA	NA	NA	0.410116839	0.589883161	0.188631487	mig	Xolmiini
Muscisaxicola_maculirostris	real	0.416828806	0.09901	0.34271165	NA	0.5	0.009449768	NA	0.5	0.022626221	NA	15.49643933	7.71104555	7.785393776	0.271837287	0.728162713	0.423086473	mig	Xolmiini
Muscisaxicola_maculirostris	hypo_br	0.417880918	0.08911	0.390394419	NA	0.5	0.003669835	NA	0.5	0.022528839	NA	NA	NA	NA	0.25752301	0.74247699	0.309002374	mig	Xolmiini
Muscisaxicola_maculirostris	hypo_wi	0.336176134	0.0099	0.262820846	NA	0.5	0.045464417	NA	0.5	0.014088794	NA	NA	NA	NA	0.536819704	0.463180296	0.439965089	mig	Xolmiini
Muscisaxicola_rufivertex	real	0.499985107	0.0099	0.340733132	NA	0.5	0.18142181	NA	0.5	0.000620628	NA	14.79575459	7.410768931	7.384985659	0.212305547	0.787694453	0.275687413	res	Xolmiini
